_id,author,content,rating
658ccd25fdf2d4b2f8bdd9bc,eve5**,플레인 말고 양념된 맛들도 괜찮은거 같아요,평점 별 5점 중 4
658ccd25fdf2d4b2f8bdd9bd,민트냥,최고예요 정말 맛있어요 \n여때 먹어본 닭가슴살 중 최고\n또 시키러왔어요,평점 별 5점 중 5
658ccd25fdf2d4b2f8bdd9be,dlar*******,이것저것 샀는데 역시 통닭가슴살보단 핫바처럼 가공한게 맛은있네요,평점 별 5점 중 5
658ccd25fdf2d4b2f8bdd9bf,rwsl****,밥대신먹으려고샀는데두팩은많고한팩반..세개가딱이네요,평점 별 5점 중 5
658ccd25fdf2d4b2f8bdd9c0,dlar*******,이것저것 샀는데 역시 통닭가슴살보단 핫바처럼 가공한게 맛있네요,평점 별 5점 중 4
658ccd25fdf2d4b2f8bdd9c1,eve5**,가격도 좋고 유통기한 맛도 좋아요,평점 별 5점 중 4
658ccd25fdf2d4b2f8bdd9c2,daeh****,운동하는 아들때문에. 샀는데 소스가 맛있다고 하네요~,평점 별 5점 중 5
658ccd25fdf2d4b2f8bdd9c3,daeh****,소스도 맛있고 배송도 빠르고 좋아요,평점 별 5점 중 5
658ccd2dfdf2d4b2f8bdd9c5,choi****,이것저것 리모콘과 아이들 장난감용으로 건전지를 주문했는데 사용하다보면 건전지가 빨리 소모가 되네요 그래서 이번에는 이걸로 주문하는데 다른것보다 오래 사용했으면 좋겠어요 잘 쓸께요,평점 별 5점 중 4
658ccd2dfdf2d4b2f8bdd9c6,choi****,이것저것 리모콘과 아이들 장난감용으로 건전지를 주문했는데 사용하다보면 건전지가 빨리 소모가 되네요 그래서 이번에는 이걸로 주문하는데 다른것보다 오래 사용했으면 좋겠어요 잘 쓸께요,평점 별 5점 중 4
658ccd2dfdf2d4b2f8bdd9c7,choi****,이것저것 리모콘과 아이들 장난감용으로 건전지를 주문했는데 사용하다보면 건전지가 빨리 소모가 되네요 그래서 이번에는 이걸로 주문하는데 다른것보다 오래 사용했으면 좋겠어요 잘 쓸께요,평점 별 5점 중 4
658ccd2dfdf2d4b2f8bdd9c8,시횬ㅁㅁ,리모컨건전지 저렴하게 잘구매함,평점 별 5점 중 5
658ccd2dfdf2d4b2f8bdd9c9,minc****,충전용 건전지 사용하다 구매하였습니다.\n가격저렴하고 배송도 빠름니다,평점 별 5점 중 5
658ccd2dfdf2d4b2f8bdd9ca,dnjs******,배성빠르고 가격 저렴해서 사면살 수록 이득입니다.,평점 별 5점 중 5
658ccd2dfdf2d4b2f8bdd9cb,ksch****,사용하기편하고 성능이좋아요,평점 별 5점 중 5
658ccd2dfdf2d4b2f8bdd9cc,pl79**,건전지 잘 쓰고 있습니다. 과대 포장된거만 보다가 배송 왔는데 부피 작어서 깜놀하긴 했네요. ㅎ\n두개씩 포장 되어있어 좋아요,평점 별 5점 중 5
658ccd2dfdf2d4b2f8bdd9cd,kimy**,AA 건전지가 ？요해서 구매합니다. 도시바건전지는 처음 써 보지만 디자인이 고급스러워 마음에 듭니다,평점 별 5점 중 5
658ccd2dfdf2d4b2f8bdd9ce,firs****,자주쓰는 건전지 저렴하게 구입했어요\n도시바는 처음인데 수명도 오래가길 기대합니다~,평점 별 5점 중 5
