_id,법원소재지,사건번호,소재지 및 내역
658cfcb1c837ad5e9701f29b,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경53089,"서울특별시 송파구 송이로 88, 3동 1층101호 (가락동,가락대림아파트)\n[집합건물 철근콘크리트조 84.11㎡]"
658cfcb1c837ad5e9701f29c,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경55887,"서울특별시 송파구 오금로57길 10, 104동 2층201호 (거여동,성우스타팰리스)\n[집합건물 철근콘크리트구조 59.4㎡]"
658cfcb1c837ad5e9701f29d,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경56088,"서울특별시 송파구 오금로57길 9-19, 3층301호 (거여동,드림리치빌 2호)\n[집합건물 철근콘크리트구조 37.62㎡]"
658cfcb1c837ad5e9701f29e,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경56170,"서울특별시 광진구 영화사로11길 34, 지1층비01호 (구의동,진연빌)\n[집합건물 철근콘크리트조 26.32㎡]"
658cfcb1c837ad5e9701f29f,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경56729,"서울특별시 강동구 천중로44길 13, 102동 5층502호 (길동,강남리치빌)\n[집합건물 철근콘크리트구조 29.24㎡]"
658cfcb1c837ad5e9701f2a0,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경56965,"서울특별시 강동구 성안로27길 63-14, 6층602호 (천호동,주성아파텔)\n[집합건물 철근콘크리트구조 28.995㎡]"
658cfcb1c837ad5e9701f2a1,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경56989\n2022타경57869\n(중복),"서울특별시 송파구 중대로 24, 228동 7층702호 (문정동,올림픽훼밀리타운아파트)\n[집합건물 철근콘크리트조 84.705㎡]"
658cfcb5c837ad5e9701f2a2,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2021타경1946,서울특별시 용산구 갈월동 7-190\n[토지 대 355.4㎡]\n서울특별시 용산구 갈월동 8-59\n[토지 대 2.3㎡]\n서울특별시 용산구 한강대로98길 9\n[건물 석조 및 연와조평옥개2계건주택 1층138.35㎡ 2층105.69㎡ 지하실168.60㎡]
658cfcb5c837ad5e9701f2a3,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2021타경55233,"서울특별시 서대문구 문화촌길 6-24, 104동 6층605호 (홍제동,문화촌현대아파트)\n[집합건물 철근콘크리트조벽식구조 59.94㎡]"
658cfcb5c837ad5e9701f2a4,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2021타경56489,"서울특별시 마포구 구룡길 19, 2층에이211호 (상암동,상암한화오벨리스크)\n[집합건물 철근콘크리트구조 19.93㎡]"
658cfcb5c837ad5e9701f2a5,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경1479\n2022타경94\n2022타경1639\n(중복),서울특별시 서대문구 홍제동 266-214\n[토지 대 106㎡ 갑구 6번 32분의 8 오진수 지분 전부]\n서울특별시 서대문구 홍제동 266-214 1호\n[건물 1호 벽돌조 슬래브지붕 2층 주택 1층 29.11㎡ 2층 25.66㎡ 지층 5.04㎡]
658cfcb5c837ad5e9701f2a6,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경2489,"서울특별시 은평구 응암로34길 12-7, 5층502호 (응암동,호안빌)\n[집합건물 철근콘크리트구조 27.22㎡]"
658cfcb5c837ad5e9701f2a7,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경2496,"서울특별시 은평구 구산동 7-9\n[토지 대 147.8㎡ 갑구 39번 147.8분의 12.3165 최준호 지분 전부, 147.8분의 12.3165 최은혜 지분 전부]\n서울특별시 은평구 서오릉로11길 18-2\n[건물 벽돌조 평슬래브 2층 단독주택 1층 73.69㎡ 2층 73.69㎡ 3층 73.69㎡ 갑구 38번 221.07분의 18.4225 최준호 지분 전부, 221.07분의 18.4225 최은혜 지분 전부]"
658cfcb5c837ad5e9701f2a8,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경2700,"서울특별시 은평구 백련산로 121, 104동 2층201호 (응암동,세영스카이타운)\n[집합건물 철근콘크리트구조 29.72㎡]"
658cfcb5c837ad5e9701f2a9,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경3031,"서울특별시 은평구 통일로 780, 8동 4층403호 (불광동,미성아파트)\n[집합건물 철근콩크리트조 125.75㎡]"
658cfcb5c837ad5e9701f2aa,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경3048\n2023타경58304\n(중복),"서울특별시 은평구 진관1로 21-35, 9층914호 (진관동,어드벤스힐오피스텔)\n[집합건물 철근콘크리트구조 29.79㎡]"
658cfcb5c837ad5e9701f2ab,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경50594,"서울특별시 은평구 갈현로15길 7-16, 1층102호\n[집합건물 철근콘크리트조 52.1㎡]"
658cfcb5c837ad5e9701f2ac,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경51528,"서울특별시 은평구 갈현로23길 34-8, 5층502호 (갈현동,현우하이빌)\n[집합건물 철근콘크리트구조 39.15㎡]"
658cfcb5c837ad5e9701f2ad,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경52941,"서울특별시 마포구 성미산로27길 38, 6층604호 (연남동,삼정도나빌)\n[집합건물 철근콘크리트구조 22.97㎡]"
658cfcb5c837ad5e9701f2ae,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경53944,"서울특별시 은평구 진흥로 114, 6층602호 (녹번동,에스클래스)\n[집합건물 철근콘크리트구조 26.48㎡]"
658cfcb5c837ad5e9701f2af,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경54053,"서울특별시 마포구 성미산로27길 38, 2층201호 (연남동,삼정도나빌)\n[집합건물 철근콘크리트구조 41.11㎡]"
658cfcb5c837ad5e9701f2b0,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울서부지방법원\n2022타경54213\n2023타경55381\n(중복)\n2023타경1926\n(병합),"서울특별시 은평구 북한산로 271-7\n[건물 철근콘크리트구조 철근콘크리트 경사슬래브지붕 2층 제2종 근린생활시설 및 단독주택 1층 137.1㎡ 2층 94.29㎡ (용도:1층-제2종근린생활시설,2층-주택)]\n서울특별시 은평구 진관동 296-10\n[토지 대 330㎡]"
